#gamma	N_0	probability

3.52842e-05	0.017875	5.35614e+07
3.52995e-05	0.017875	5.49383e+07
3.53149e-05	0.017875	2.29753e+08
3.53302e-05	0.017875	1.50015e+08
3.53456e-05	0.017875	1.3936e+08
3.5361e-05	0.017875	3.35115e+08
3.53763e-05	0.017875	3.05019e+08
3.53917e-05	0.017875	2.03499e+08
3.5407e-05	0.017875	1.36399e+08
3.54224e-05	0.017875	1.71433e+08
3.54378e-05	0.017875	8.36132e+07
3.54531e-05	0.017875	4.8978e+07
3.54685e-05	0.017875	1.20755e+08
3.54838e-05	0.017875	1.04503e+08
3.54992e-05	0.017875	9.71201e+07
3.55146e-05	0.017875	6.03143e+07
3.55299e-05	0.017875	1.12514e+08
3.55453e-05	0.017875	2.61793e+07
3.55606e-05	0.017875	1.45218e+06
3.5576e-05	0.017875	202154
3.55914e-05	0.017875	51981
3.56067e-05	0.017875	7489.31
3.56221e-05	0.017875	757.272
3.56374e-05	0.017875	419.31
3.56528e-05	0.017875	17.407
3.56682e-05	0.017875	2.98538
3.56835e-05	0.017875	0.044371
3.56989e-05	0.017875	1.0924e-05
3.57142e-05	0.017875	3.81903e-08
3.57296e-05	0.017875	1.78091e-319
3.5745e-05	0.017875	6.51179e-320
3.57603e-05	0.017875	2.6729e-321
3.50077e-05	0.020625	0
3.5023e-05	0.020625	0
3.50384e-05	0.020625	0
3.50538e-05	0.020625	0
3.50691e-05	0.020625	0
3.50845e-05	0.020625	0
3.50998e-05	0.020625	0
3.51152e-05	0.020625	0
3.51306e-05	0.020625	0
3.51459e-05	0.020625	2.02394e-306
3.51613e-05	0.020625	1.59056e-306
3.51766e-05	0.020625	3.28707e-306
3.5192e-05	0.020625	4.52189e-306
3.52074e-05	0.020625	4.6786e-306
3.52227e-05	0.020625	5.68346e-306
3.52381e-05	0.020625	7.3593e-306
3.52534e-05	0.020625	7.20518e-306
3.52688e-05	0.020625	7.83243e-306
3.52842e-05	0.020625	7.14277e-306
3.52995e-05	0.020625	1.69889e+08
3.53149e-05	0.020625	1.77951e+08
3.53302e-05	0.020625	1.38625e+08
3.53456e-05	0.020625	3.69939e+08
3.5361e-05	0.020625	2.40983e+08
3.53763e-05	0.020625	2.31439e+08
3.53917e-05	0.020625	2.36676e+08
3.5407e-05	0.020625	2.95317e+08
3.54224e-05	0.020625	1.49865e+08
3.54378e-05	0.020625	8.06895e+07
3.54531e-05	0.020625	1.01779e+08
3.54685e-05	0.020625	5.30838e+07
3.54838e-05	0.020625	2.89407e+07
3.54992e-05	0.020625	2.46388e+07
3.55146e-05	0.020625	9.36105e+07
3.55299e-05	0.020625	2.60141e+07
3.55453e-05	0.020625	2.6618e+06
3.55606e-05	0.020625	2.74233e+06
3.5576e-05	0.020625	243919
3.55914e-05	0.020625	126246
3.56067e-05	0.020625	16845.4
3.56221e-05	0.020625	2121.34
3.56374e-05	0.020625	211.132
3.56528e-05	0.020625	48.7686
3.56682e-05	0.020625	4.92862
3.56835e-05	0.020625	0.110775
3.56989e-05	0.020625	0.00604691
3.57142e-05	0.020625	3.86345e-07
3.57296e-05	0.020625	6.17214e-10
3.5745e-05	0.020625	2.53011e-320
3.57603e-05	0.020625	2.32211e-322
3.50077e-05	0.023375	0
3.5023e-05	0.023375	0
3.50384e-05	0.023375	0
3.50538e-05	0.023375	0
3.50691e-05	0.023375	0
3.50845e-05	0.023375	0
3.50998e-05	0.023375	0
3.51152e-05	0.023375	0
3.51306e-05	0.023375	0
3.51459e-05	0.023375	0
3.51613e-05	0.023375	2.09526e-306
3.51766e-05	0.023375	1.62254e-306
3.5192e-05	0.023375	1.68091e-306
3.52074e-05	0.023375	3.68336e-306
3.52227e-05	0.023375	5.58658e-306
3.52381e-05	0.023375	5.16486e-306
3.52534e-05	0.023375	5.37743e-306
3.52688e-05	0.023375	7.29758e-306
3.52842e-05	0.023375	7.96388e-306
3.52995e-05	0.023375	7.01044e-306
3.53149e-05	0.023375	5.80824e-306
3.53302e-05	0.023375	1.81423e+08
3.53456e-05	0.023375	1.41948e+08
3.5361e-05	0.023375	2.9612e+08
3.53763e-05	0.023375	4.59055e+08
3.53917e-05	0.023375	4.06104e+08
3.5407e-05	0.023375	2.38499e+08
3.54224e-05	0.023375	1.34359e+08
3.54378e-05	0.023375	1.37377e+08
3.54531e-05	0.023375	8.1004e+07
3.54685e-05	0.023375	7.20086e+07
3.54838e-05	0.023375	5.027e+07
3.54992e-05	0.023375	3.05704e+07
3.55146e-05	0.023375	1.07621e+07
3.55299e-05	0.023375	1.53822e+06
3.55453e-05	0.023375	7.14023e+06
3.55606e-05	0.023375	291645
3.5576e-05	0.023375	120988
3.55914e-05	0.023375	129300
3.56067e-05	0.023375	45413.5
3.56221e-05	0.023375	1004.3
3.56374e-05	0.023375	278.714
3.56528e-05	0.023375	49.4543
3.56682e-05	0.023375	13.2815
3.56835e-05	0.023375	0.174984
3.56989e-05	0.023375	0.0101407
3.57142e-05	0.023375	9.42306e-07
3.57296e-05	0.023375	1.94325e-09
3.5745e-05	0.023375	2.0899e-321
3.57603e-05	0.023375	3.85371e-322
3.50077e-05	0.026125	0
3.5023e-05	0.026125	0
3.50384e-05	0.026125	0
3.50538e-05	0.026125	0
3.50691e-05	0.026125	0
3.50845e-05	0.026125	0
3.50998e-05	0.026125	0
3.51152e-05	0.026125	0
3.51306e-05	0.026125	0
3.51459e-05	0.026125	0
3.51613e-05	0.026125	0
3.51766e-05	0.026125	0
3.5192e-05	0.026125	0
3.52074e-05	0.026125	1.79828e-306
3.52227e-05	0.026125	3.64495e-306
3.52381e-05	0.026125	3.20778e-306
3.52534e-05	0.026125	5.26747e-306
3.52688e-05	0.026125	6.28567e-306
3.52842e-05	0.026125	5.90484e-306
3.52995e-05	0.026125	7.38257e-306
3.53149e-05	0.026125	6.45253e-306
3.53302e-05	0.026125	5.4791e-306
3.53456e-05	0.026125	5.43237e-306
3.5361e-05	0.026125	1.44733e+08
3.53763e-05	0.026125	1.53416e+08
3.53917e-05	0.026125	2.16951e+08
3.5407e-05	0.026125	1.87858e+08
3.54224e-05	0.026125	1.70052e+08
3.54378e-05	0.026125	1.11584e+08
3.54531e-05	0.026125	9.84337e+07
3.54685e-05	0.026125	7.68749e+07
3.54838e-05	0.026125	6.68257e+07
3.54992e-05	0.026125	1.92082e+07
3.55146e-05	0.026125	2.7371e+06
3.55299e-05	0.026125	7.30292e+06
3.55453e-05	0.026125	64561.5
3.55606e-05	0.026125	45976.4
3.5576e-05	0.026125	227420
3.55914e-05	0.026125	52590.9
3.56067e-05	0.026125	17574.5
3.56221e-05	0.026125	3495.03
3.56374e-05	0.026125	432.497
3.56528e-05	0.026125	92.4801
3.56682e-05	0.026125	5.95974
