Step number, fringe number
2843.675578596136,69.6951343289644
2860.675578596136,70.6951343289644
2878.675578596136,71.6951343289644
2898.675578596136,72.6951343289644
2917.675578596136,73.6951343289644
2936.675578596136,74.6951343289644
2955.675578596136,75.6951343289644
2971.675578596136,76.6951343289644
2989.675578596136,77.6951343289644
3008.675578596136,78.6951343289644
3031.675578596136,79.6951343289644
3052.675578596136,80.6951343289644
3072.675578596136,81.6951343289644
3093.675578596136,82.6951343289644
3107.675578596136,83.6951343289644
3127.675578596136,84.6951343289644
3145.675578596136,85.6951343289644
3165.675578596136,86.6951343289644
3181.675578596136,87.6951343289644
3201.675578596136,88.6951343289644
3218.675578596136,89.6951343289644
3233.675578596136,90.6951343289644
3248.675578596136,91.6951343289644
3265.675578596136,92.6951343289644
3280.675578596136,93.6951343289644
