#n_l	N_0	probability

1.45414	0.03	1.28805e-11
1.45514	0.03	1.91514e-05
1.45615	0.03	2.49594e-08
1.45716	0.03	7.13428e-05
1.45817	0.03	6.79274e-06
1.45918	0.03	0.000332347
1.46018	0.03	0.000101603
1.46119	0.03	0.0021042
1.4622	0.03	3.0258e-05
1.46321	0.03	0.0068184
1.46422	0.03	5.31836e-05
1.46522	0.03	0.0186175
1.46623	0.03	0.000207681
1.46724	0.03	0.00793326
1.46825	0.03	0.00262758
1.46926	0.03	0.0196214
1.47026	0.03	0.0818054
1.47127	0.03	0.00160158
1.47228	0.03	0.111123
1.47329	0.03	0.000170952
1.4743	0.03	0.0563145
1.4753	0.03	0.00395057
1.47631	0.03	0.002967
1.47732	0.03	0.00292563
1.47833	0.03	7.20614e-05
1.47934	0.03	0.00757005
1.48034	0.03	0.00054372
1.48135	0.03	0.000167362
1.48236	0.03	0.0012415
1.48337	0.03	1.63867e-05
1.48438	0.03	3.71311e-05
1.48538	0.03	3.83622e-05
1.48639	0.03	1.83766e-06
1.4874	0.03	1.5693e-06
1.48841	0.03	1.11384e-06
1.48942	0.03	6.3452e-08
1.49042	0.03	2.33952e-07
1.49143	0.03	1.33661e-08
1.49244	0.03	9.55637e-10
1.49345	0.03	1.84374e-09
1.49446	0.03	3.46459e-11
1.49546	0.03	1.27812e-10
1.49647	0.03	1.0873e-10
1.49748	0.03	1.19147e-17
1.49849	0.03	6.84135e-14
1.4995	0.03	5.48471e-16
1.4501	0.034	0
1.45111	0.034	2.19286e-10
1.45212	0.034	6.36035e-15
1.45313	0.034	7.12551e-08
1.45414	0.034	7.62835e-13
1.45514	0.034	2.07231e-06
1.45615	0.034	3.04325e-08
1.45716	0.034	5.50143e-06
1.45817	0.034	9.08167e-06
1.45918	0.034	3.58695e-05
1.46018	0.034	2.74637e-05
1.46119	0.034	0.000107811
1.4622	0.034	3.09372e-05
1.46321	0.034	0.00338489
1.46422	0.034	1.56106e-05
1.46522	0.034	0.00160153
1.46623	0.034	3.75332e-05
1.46724	0.034	0.00982696
1.46825	0.034	0.000103333
1.46926	0.034	0.00118593
1.47026	0.034	0.000868155
1.47127	0.034	0.00107739
1.47228	0.034	0.00156022
1.47329	0.034	0.000100717
1.4743	0.034	0.00108803
1.4753	0.034	0.000275552
1.47631	0.034	0.000205764
1.47732	0.034	0.00133565
1.47833	0.034	1.95001e-05
1.47934	0.034	0.000241317
