#gamma	theta_0	probability

2.68739e-05	0.00022368	1.40069e+08
2.6875e-05	0.00022368	1.44562e+08
2.6876e-05	0.00022368	1.46493e+08
2.68771e-05	0.00022368	1.90528e+08
2.68781e-05	0.00022368	2.28113e+08
2.68792e-05	0.00022368	2.31955e+08
2.68802e-05	0.00022368	2.63265e+08
2.68813e-05	0.00022368	2.49768e+08
2.68823e-05	0.00022368	3.05485e+08
2.68834e-05	0.00022368	3.14657e+08
2.68844e-05	0.00022368	3.94403e+08
2.68855e-05	0.00022368	4.5039e+08
2.68865e-05	0.00022368	5.53738e+08
2.68876e-05	0.00022368	6.05056e+08
2.68886e-05	0.00022368	9.05093e+08
2.68897e-05	0.00022368	9.15392e+08
2.68907e-05	0.00022368	1.38358e+09
2.68918e-05	0.00022368	1.3917e+09
2.68928e-05	0.00022368	1.64014e+09
2.68939e-05	0.00022368	2.26755e+09
2.68949e-05	0.00022368	3.20403e+09
2.6896e-05	0.00022368	3.15455e+09
2.6897e-05	0.00022368	3.4759e+09
2.68981e-05	0.00022368	3.54401e+09
2.68991e-05	0.00022368	2.95659e+09
2.69002e-05	0.00022368	2.7352e+09
2.69012e-05	0.00022368	2.66627e+09
2.69023e-05	0.00022368	2.27923e+09
2.69033e-05	0.00022368	2.27822e+09
2.69044e-05	0.00022368	2.12551e+09
2.69054e-05	0.00022368	1.76729e+09
2.69065e-05	0.00022368	1.6473e+09
2.69075e-05	0.00022368	1.51372e+09
2.69086e-05	0.00022368	1.69822e+09
2.69096e-05	0.00022368	1.663e+09
2.69107e-05	0.00022368	2.06064e+09
2.69117e-05	0.00022368	1.27981e+09
2.69128e-05	0.00022368	9.78708e+08
