#gamma	theta_0	probability

2.71675e-05	0.0001816	2.81276e-49
2.71745e-05	0.0001816	2.63867e-50
2.71815e-05	0.0001816	7.10608e-51
2.71885e-05	0.0001816	4.78459e-52
2.71955e-05	0.0001816	4.57157e-55
2.72025e-05	0.0001816	8.16367e-56
2.72095e-05	0.0001816	1.19576e-56
2.72165e-05	0.0001816	2.04961e-58
2.65235e-05	0.000196	2.51174e-36
2.65305e-05	0.000196	6.98694e-36
2.65375e-05	0.000196	3.23897e-35
2.65445e-05	0.000196	2.03873e-35
2.65515e-05	0.000196	1.25771e-34
2.65585e-05	0.000196	1.39693e-34
2.65655e-05	0.000196	2.22699e-34
2.65725e-05	0.000196	1.30432e-34
2.65795e-05	0.000196	2.60441e-34
2.65865e-05	0.000196	3.2874e-34
2.65935e-05	0.000196	7.89115e-34
2.66005e-05	0.000196	3.6333e-33
2.66075e-05	0.000196	9.57056e-33
2.66145e-05	0.000196	1.04103e-32
2.66215e-05	0.000196	1.7228e-32
2.66285e-05	0.000196	6.15268e-32
2.66355e-05	0.000196	6.69179e-32
2.66425e-05	0.000196	3.58159e-31
2.66495e-05	0.000196	3.96404e-30
2.66565e-05	0.000196	8.10828e-30
2.66635e-05	0.000196	1.14596e-29
2.66705e-05	0.000196	1.00326e-28
2.66775e-05	0.000196	6.01272e-28
2.66845e-05	0.000196	1.33014e-28
2.66915e-05	0.000196	2.22752e-28
2.66985e-05	0.000196	1.02327e-28
2.67055e-05	0.000196	7.64352e-29
2.67125e-05	0.000196	4.79591e-28
2.67195e-05	0.000196	6.49795e-28
2.67265e-05	0.000196	4.17033e-28
2.67335e-05	0.000196	8.25488e-28
2.67405e-05	0.000196	1.45961e-27
2.67475e-05	0.000196	1.16327e-26
2.67545e-05	0.000196	2.59904e-26
2.67615e-05	0.000196	5.30725e-26
2.67685e-05	0.000196	1.35248e-25
2.67755e-05	0.000196	3.79746e-25
2.67825e-05	0.000196	3.55622e-25
2.67895e-05	0.000196	4.58578e-25
2.67965e-05	0.000196	3.76314e-25
2.68035e-05	0.000196	7.70178e-24
2.68105e-05	0.000196	2.0284e-24
2.68175e-05	0.000196	2.04872e-24
2.68245e-05	0.000196	1.49806e-24
2.68315e-05	0.000196	2.27377e-24
2.68385e-05	0.000196	3.0128e-24
2.68455e-05	0.000196	4.36896e-24
2.68525e-05	0.000196	8.52298e-25
2.68595e-05	0.000196	2.52288e-25
2.68665e-05	0.000196	9.44881e-26
2.68735e-05	0.000196	6.8344e-26
2.68805e-05	0.000196	2.70447e-26
2.68875e-05	0.000196	5.02589e-27
2.68945e-05	0.000196	1.38815e-27
2.69015e-05	0.000196	5.89298e-28
2.69085e-05	0.000196	2.6565e-28
2.69155e-05	0.000196	2.66358e-29
2.69225e-05	0.000196	1.62202e-29
2.69295e-05	0.000196	1.83555e-29
2.69365e-05	0.000196	5.39286e-29
2.69435e-05	0.000196	5.65963e-29
2.69505e-05	0.000196	5.0004e-29
2.69575e-05	0.000196	3.13231e-29
2.69645e-05	0.000196	1.44625e-29
2.69715e-05	0.000196	3.06896e-30
2.69785e-05	0.000196	1.65727e-30
2.69855e-05	0.000196	9.72034e-31
2.69925e-05	0.000196	3.98068e-31
2.69995e-05	0.000196	1.66597e-31
