#n_l	N_0	probability

1.45105	0.09625	1.14149e-06
1.45206	0.09625	8.91154e-08
1.45306	0.09625	5.18979e-09
1.45407	0.09625	7.81997e-11
1.45508	0.09625	4.98165e-16
1.45609	0.09625	2.22822e-29
1.4571	0.09625	1.7563e-52
1.4077	0.11375	2.90857e-40
1.40871	0.11375	1.54153e-19
1.40972	0.11375	1.36346e-11
1.41073	0.11375	8.01146e-10
1.41174	0.11375	2.76281e-08
1.41274	0.11375	4.18952e-07
1.41375	0.11375	3.82153e-06
1.41476	0.11375	2.36818e-05
1.41577	0.11375	0.000108922
1.41678	0.11375	0.000407398
1.41778	0.11375	0.00132649
1.41879	0.11375	0.00375737
1.4198	0.11375	0.00964535
1.42081	0.11375	0.02357
1.42182	0.11375	0.0528522
1.42282	0.11375	0.109989
1.42383	0.11375	0.206934
1.42484	0.11375	0.352872
1.42585	0.11375	0.559809
1.42686	0.11375	0.81146
1.42786	0.11375	1.08034
1.42887	0.11375	1.33757
1.42988	0.11375	1.50299
1.43089	0.11375	1.5971
1.4319	0.11375	1.56533
1.4329	0.11375	1.43571
1.43391	0.11375	1.19925
1.43492	0.11375	0.945059
1.43593	0.11375	0.686458
1.43694	0.11375	0.464659
1.43794	0.11375	0.294516
1.43895	0.11375	0.172135
1.43996	0.11375	0.0934719
1.44097	0.11375	0.0464754
1.44198	0.11375	0.0214454
1.44298	0.11375	0.00894511
1.44399	0.11375	0.00339951
1.445	0.11375	0.00118603
1.44601	0.11375	0.000366453
1.44702	0.11375	0.000103544
1.44802	0.11375	2.60712e-05
1.44903	0.11375	5.31502e-06
1.45004	0.11375	8.34756e-07
1.45105	0.11375	9.1204e-08
1.45206	0.11375	6.33965e-09
1.45306	0.11375	3.93885e-10
1.45407	0.11375	5.12346e-12
1.45508	0.11375	3.54071e-19
1.45609	0.11375	1.77209e-34
1.4571	0.11375	8.2384e-60
1.4077	0.13125	2.80027e-36
1.40871	0.13125	3.76031e-18
1.40972	0.13125	5.3489e-12
1.41073	0.13125	2.02194e-10
1.41174	0.13125	5.16014e-09
1.41274	0.13125	6.86039e-08
1.41375	0.13125	5.72643e-07
1.41476	0.13125	3.28108e-06
1.41577	0.13125	1.43279e-05
1.41678	0.13125	5.21562e-05
1.41778	0.13125	0.000164462
1.41879	0.13125	0.000453923
1.4198	0.13125	0.00116997
1.42081	0.13125	0.00275673
1.42182	0.13125	0.00614757
1.42282	0.13125	0.0123701
1.42383	0.13125	0.0229003
1.42484	0.13125	0.0385675
1.42585	0.13125	0.0595656
1.42686	0.13125	0.085144
1.42786	0.13125	0.111507
1.42887	0.13125	0.134305
1.42988	0.13125	0.150805
1.43089	0.13125	0.155666
1.4319	0.13125	0.150319
1.4329	0.13125	0.134691
1.43391	0.13125	0.111337
1.43492	0.13125	0.0867972
1.43593	0.13125	0.0616269
1.43694	0.13125	0.0411877
1.43794	0.13125	0.0252189
1.43895	0.13125	0.0146834
1.43996	0.13125	0.00781251
1.44097	0.13125	0.00386233
1.44198	0.13125	0.0017233
1.44298	0.13125	0.0007129
1.44399	0.13125	0.00026656
1.445	0.13125	9.04775e-05
1.44601	0.13125	2.73843e-05
1.44702	0.13125	7.6935e-06
1.44802	0.13125	1.8286e-06
1.44903	0.13125	3.5958e-07
1.45004	0.13125	5.26511e-08
1.45105	0.13125	5.35609e-09
1.45206	0.13125	3.67334e-10
1.45306	0.13125	1.45601e-11
1.45407	0.13125	5.08694e-14
1.45508	0.13125	5.91979e-23
1.45609	0.13125	2.21539e-40
1.4571	0.13125	9.02609e-68
1.4077	0.14875	2.97565e-33
1.40871	0.14875	3.20255e-17
1.40972	0.14875	8.15366e-13
1.41073	0.14875	3.17921e-11
1.41174	0.14875	7.08316e-10
1.41274	0.14875	9.19082e-09
1.41375	0.14875	7.22043e-08
1.41476	0.14875	3.96284e-07
1.41577	0.14875	1.66038e-06
1.41678	0.14875	5.86845e-06
1.41778	0.14875	1.79819e-05
1.41879	0.14875	5.00028e-05
1.4198	0.14875	0.000124664
1.42081	0.14875	0.000294515
1.42182	0.14875	0.000636896
1.42282	0.14875	0.00128924
1.42383	0.14875	0.00233265
1.42484	0.14875	0.00384787
1.42585	0.14875	0.00587063
1.42686	0.14875	0.00826904
1.42786	0.14875	0.0106442
1.42887	0.14875	0.0127139
1.42988	0.14875	0.0140509
1.43089	0.14875	0.0142784
1.4319	0.14875	0.0135956
1.4329	0.14875	0.0119839
1.43391	0.14875	0.00974105
1.43492	0.14875	0.00737194
1.43593	0.14875	0.00521179
1.43694	0.14875	0.00343328
1.43794	0.14875	0.00210034
1.43895	0.14875	0.0011911
1.43996	0.14875	0.000621657
1.44097	0.14875	0.000296609
1.44198	0.14875	0.000132338
1.44298	0.14875	5.29616e-05
1.44399	0.14875	1.94879e-05
1.445	0.14875	6.467e-06
1.44601	0.14875	1.91367e-06
1.44702	0.14875	5.10356e-07
1.44802	0.14875	1.19122e-07
1.44903	0.14875	2.13252e-08
1.45004	0.14875	2.90302e-09
1.45105	0.14875	2.81648e-10
1.45206	0.14875	1.69226e-11
1.45306	0.14875	4.72393e-13
1.45407	0.14875	1.70938e-16
1.45508	0.14875	5.18952e-27
1.45609	0.14875	4.57113e-46
1.4571	0.14875	4.67964e-77
1.4077	0.16625	3.24513e-30
1.40871	0.16625	5.51833e-17
1.40972	0.16625	7.14752e-14
1.41073	0.16625	3.22294e-12
1.41174	0.16625	6.27466e-11
1.41274	0.16625	7.01252e-10
1.41375	0.16625	5.10828e-09
1.41476	0.16625	2.56894e-08
1.41577	0.16625	1.02707e-07
1.41678	0.16625	3.53415e-07
1.41778	0.16625	1.06512e-06
1.41879	0.16625	2.82698e-06
1.4198	0.16625	6.91663e-06
1.42081	0.16625	1.614e-05
1.42182	0.16625	3.40267e-05
1.42282	0.16625	6.62342e-05
1.42383	0.16625	0.000118565
1.42484	0.16625	0.000191815
1.42585	0.16625	0.000287121
1.42686	0.16625	0.000390487
1.42786	0.16625	0.00049574
1.42887	0.16625	0.000573458
1.42988	0.16625	0.000629668
1.43089	0.16625	0.000630045
1.4319	0.16625	0.000580115
1.4329	0.16625	0.000506494
1.43391	0.16625	0.000403334
1.43492	0.16625	0.000300789
1.43593	0.16625	0.000208308
1.43694	0.16625	0.000135333
1.43794	0.16625	7.94916e-05
1.43895	0.16625	4.43593e-05
1.43996	0.16625	2.28288e-05
1.44097	0.16625	1.08861e-05
1.44198	0.16625	4.64708e-06
1.44298	0.16625	1.84076e-06
1.44399	0.16625	6.56327e-07
1.445	0.16625	2.12694e-07
1.44601	0.16625	6.15676e-08
1.44702	0.16625	1.59737e-08
1.44802	0.16625	3.54603e-09
1.44903	0.16625	6.19446e-10
1.45004	0.16625	7.91303e-11
1.45105	0.16625	6.42009e-12
1.45206	0.16625	3.97126e-13
1.45306	0.16625	9.52164e-15
1.45407	0.16625	2.08695e-19
1.45508	0.16625	1.03111e-31
1.45609	0.16625	5.05797e-53
1.4571	0.16625	7.55312e-84
1.4077	0.18375	4.36219e-28
1.40871	0.18375	2.92446e-17
1.40972	0.18375	7.30607e-15
1.41073	0.18375	2.75425e-13
1.41174	0.18375	5.10984e-12
1.41274	0.18375	5.51646e-11
1.41375	0.18375	3.64107e-10
1.41476	0.18375	1.75619e-09
1.41577	0.18375	6.83316e-09
1.41678	0.18375	2.28769e-08
1.41778	0.18375	6.79416e-08
1.41879	0.18375	1.7488e-07
1.4198	0.18375	4.33982e-07
1.42081	0.18375	9.89272e-07
1.42182	0.18375	2.06002e-06
1.42282	0.18375	3.93552e-06
1.42383	0.18375	6.92947e-06
1.42484	0.18375	1.10038e-05
1.42585	0.18375	1.61617e-05
1.42686	0.18375	2.19503e-05
1.42786	0.18375	2.72033e-05
1.42887	0.18375	3.10583e-05
1.42988	0.18375	3.33311e-05
1.43089	0.18375	3.29888e-05
1.4319	0.18375	3.01957e-05
1.4329	0.18375	2.58674e-05
1.43391	0.18375	2.02372e-05
1.43492	0.18375	1.4925e-05
1.43593	0.18375	1.00607e-05
1.43694	0.18375	6.39206e-06
1.43794	0.18375	3.80438e-06
1.43895	0.18375	2.08425e-06
1.43996	0.18375	1.04642e-06
1.44097	0.18375	4.73561e-07
1.44198	0.18375	2.01358e-07
1.44298	0.18375	7.80874e-08
1.44399	0.18375	2.72567e-08
1.445	0.18375	8.52969e-09
1.44601	0.18375	2.37277e-09
1.44702	0.18375	6.12684e-10
1.44802	0.18375	1.29248e-10
1.44903	0.18375	2.05728e-11
1.45004	0.18375	2.52582e-12
1.45105	0.18375	1.68404e-13
1.45206	0.18375	1.10918e-14
1.45306	0.18375	2.22514e-16
1.45407	0.18375	9.35649e-23
1.45508	0.18375	3.92479e-37
1.45609	0.18375	3.51571e-61
1.4571	0.18375	5.0699e-93
1.4077	0.20125	8.67631e-27
1.40871	0.20125	8.34696e-18
1.40972	0.20125	4.68278e-16
1.41073	0.20125	1.49656e-14
1.41174	0.20125	2.41156e-13
1.41274	0.20125	2.12988e-12
1.41375	0.20125	1.32608e-11
1.41476	0.20125	5.81636e-11
1.41577	0.20125	2.16512e-10
1.41678	0.20125	7.09369e-10
1.41778	0.20125	1.9873e-09
1.41879	0.20125	5.08533e-09
1.4198	0.20125	1.23634e-08
1.42081	0.20125	2.74186e-08
1.42182	0.20125	5.57058e-08
1.42282	0.20125	1.02818e-07
1.42383	0.20125	1.75036e-07
1.42484	0.20125	2.7442e-07
1.42585	0.20125	3.95484e-07
1.42686	0.20125	5.14868e-07
1.42786	0.20125	6.25353e-07
1.42887	0.20125	7.08566e-07
1.42988	0.20125	7.36633e-07
1.43089	0.20125	7.14693e-07
1.4319	0.20125	6.42672e-07
1.4329	0.20125	5.35701e-07
1.43391	0.20125	4.14381e-07
1.43492	0.20125	2.98165e-07
1.43593	0.20125	1.96897e-07
1.43694	0.20125	1.24356e-07
1.43794	0.20125	7.03031e-08
1.43895	0.20125	3.76414e-08
1.43996	0.20125	1.8716e-08
1.44097	0.20125	8.51226e-09
1.44198	0.20125	3.51776e-09
1.44298	0.20125	1.30665e-09
1.44399	0.20125	4.4451e-10
1.445	0.20125	1.37735e-10
1.44601	0.20125	3.82565e-11
1.44702	0.20125	9.33415e-12
1.44802	0.20125	1.85906e-12
1.44903	0.20125	2.80801e-13
1.45004	0.20125	2.98817e-14
1.45105	0.20125	2.05042e-15
1.45206	0.20125	1.1095e-16
1.45306	0.20125	9.56336e-19
1.45407	0.20125	9.09421e-27
1.45508	0.20125	1.18801e-42
1.45609	0.20125	1.13708e-68
1.4571	0.20125	4.26431e-112
1.4077	0.21875	1.11445e-25
1.40871	0.21875	5.18197e-19
1.40972	0.21875	2.64412e-17
1.41073	0.21875	7.34671e-16
1.41174	0.21875	1.09311e-14
1.41274	0.21875	9.35089e-14
1.41375	0.21875	5.43999e-13
1.41476	0.21875	2.37403e-12
1.41577	0.21875	8.77129e-12
1.41678	0.21875	2.80859e-11
1.41778	0.21875	7.84821e-11
1.41879	0.21875	1.95293e-10
1.4198	0.21875	4.66105e-10
1.42081	0.21875	1.02307e-09
1.42182	0.21875	2.08797e-09
1.42282	0.21875	3.85259e-09
1.42383	0.21875	6.39614e-09
1.42484	0.21875	9.8583e-09
1.42585	0.21875	1.40135e-08
1.42686	0.21875	1.8258e-08
1.42786	0.21875	2.17417e-08
1.42887	0.21875	2.41966e-08
1.42988	0.21875	2.48076e-08
1.43089	0.21875	2.36925e-08
1.4319	0.21875	2.07823e-08
1.4329	0.21875	1.72603e-08
1.43391	0.21875	1.31291e-08
1.43492	0.21875	9.21103e-09
1.43593	0.21875	6.03923e-09
1.43694	0.21875	3.66512e-09
1.43794	0.21875	2.10592e-09
1.43895	0.21875	1.1086e-09
1.43996	0.21875	5.34473e-10
1.44097	0.21875	2.34157e-10
1.44198	0.21875	9.46076e-11
1.44298	0.21875	3.4815e-11
1.44399	0.21875	1.14574e-11
1.445	0.21875	3.41306e-12
1.44601	0.21875	9.02161e-13
1.44702	0.21875	2.19612e-13
1.44802	0.21875	3.88677e-14
1.44903	0.21875	5.74799e-15
1.45004	0.21875	5.45807e-16
1.45105	0.21875	3.45243e-17
1.45206	0.21875	1.07044e-18
1.45306	0.21875	1.8842e-21
1.45407	0.21875	2.32438e-31
1.45508	0.21875	8.78811e-50
1.45609	0.21875	3.4116e-78
1.4571	0.21875	0
1.4077	0.23625	2.01145e-25
1.40871	0.23625	2.13718e-20
1.40972	0.23625	7.27162e-19
1.41073	0.23625	1.61455e-17
1.41174	0.23625	2.00602e-16
1.41274	0.23625	1.60498e-15
1.41375	0.23625	8.79023e-15
1.41476	0.23625	3.5671e-14
