#n_l	theta_0	probability

1.41879	-0.00018	1.99977e-21
1.4198	-0.00018	5.32223e-21
1.42081	-0.00018	1.27087e-20
1.42182	-0.00018	2.9004e-20
1.42282	-0.00018	5.99918e-20
1.42383	-0.00018	1.17264e-19
1.42484	-0.00018	2.05794e-19
1.42585	-0.00018	3.29175e-19
1.42686	-0.00018	4.91794e-19
1.42786	-0.00018	6.68559e-19
1.42887	-0.00018	8.40604e-19
1.42988	-0.00018	9.60604e-19
1.43089	-0.00018	1.02774e-18
1.4319	-0.00018	1.02983e-18
1.4329	-0.00018	9.43732e-19
1.43391	-0.00018	8.12732e-19
1.43492	-0.00018	6.47521e-19
1.43593	-0.00018	4.75897e-19
1.43694	-0.00018	3.25085e-19
1.43794	-0.00018	2.06413e-19
1.43895	-0.00018	1.23345e-19
1.43996	-0.00018	6.95444e-20
1.44097	-0.00018	3.48524e-20
1.44198	-0.00018	1.66926e-20
1.44298	-0.00018	7.35778e-21
1.44399	-0.00018	2.90347e-21
1.445	-0.00018	1.06987e-21
1.44601	-0.00018	3.5301e-22
1.44702	-0.00018	1.05758e-22
1.44802	-0.00018	2.91645e-23
1.44903	-0.00018	7.09615e-24
1.45004	-0.00018	1.46115e-24
1.45105	-0.00018	2.27009e-25
1.45206	-0.00018	2.89887e-26
1.45306	-0.00018	2.21784e-27
1.45407	-0.00018	1.28073e-28
1.45508	-0.00018	2.14195e-30
1.45609	-0.00018	3.67615e-36
1.4571	-0.00018	0
1.4077	-0.00014	4.96286e-43
1.40871	-0.00014	3.57534e-30
1.40972	-0.00014	2.80631e-23
1.41073	-0.00014	1.38926e-19
1.41174	-0.00014	7.20304e-18
1.41274	-0.00014	2.29157e-16
1.41375	-0.00014	3.34333e-15
1.41476	-0.00014	2.9379e-14
1.41577	-0.00014	1.74545e-13
1.41678	-0.00014	7.59597e-13
1.41778	-0.00014	2.71246e-12
1.41879	-0.00014	8.50517e-12
1.4198	-0.00014	2.34474e-11
1.42081	-0.00014	5.77052e-11
1.42182	-0.00014	1.34849e-10
1.42282	-0.00014	2.92434e-10
1.42383	-0.00014	5.81432e-10
1.42484	-0.00014	1.05935e-09
1.42585	-0.00014	1.75784e-09
1.42686	-0.00014	2.65642e-09
1.42786	-0.00014	3.75581e-09
1.42887	-0.00014	4.81331e-09
1.42988	-0.00014	5.76204e-09
1.43089	-0.00014	6.3067e-09
1.4319	-0.00014	6.4419e-09
1.4329	-0.00014	6.1229e-09
1.43391	-0.00014	5.39611e-09
1.43492	-0.00014	4.47484e-09
1.43593	-0.00014	3.34681e-09
1.43694	-0.00014	2.38064e-09
1.43794	-0.00014	1.59358e-09
1.43895	-0.00014	9.72707e-10
1.43996	-0.00014	5.58461e-10
1.44097	-0.00014	2.93784e-10
1.44198	-0.00014	1.44156e-10
1.44298	-0.00014	6.47924e-11
1.44399	-0.00014	2.69403e-11
1.445	-0.00014	1.00843e-11
1.44601	-0.00014	3.45388e-12
1.44702	-0.00014	1.0593e-12
1.44802	-0.00014	3.03167e-13
1.44903	-0.00014	7.28515e-14
1.45004	-0.00014	1.51929e-14
1.45105	-0.00014	2.63618e-15
1.45206	-0.00014	2.9151e-16
1.45306	-0.00014	2.61875e-17
1.45407	-0.00014	1.44377e-18
1.45508	-0.00014	2.5277e-20
1.45609	-0.00014	3.84228e-25
1.4571	-0.00014	7.16307e-42
1.4077	-0.0001	4.0692e-32
1.40871	-0.0001	4.171e-22
1.40972	-0.0001	6.62259e-16
1.41073	-0.0001	1.91327e-12
1.41174	-0.0001	8.1792e-11
1.41274	-0.0001	2.33624e-09
1.41375	-0.0001	3.42732e-08
1.41476	-0.0001	3.03619e-07
1.41577	-0.0001	1.83694e-06
1.41678	-0.0001	8.19073e-06
1.41778	-0.0001	3.05057e-05
1.41879	-0.0001	9.82459e-05
1.4198	-0.0001	0.000276407
1.42081	-0.0001	0.000695018
1.42182	-0.0001	0.00164466
1.42282	-0.0001	0.00370468
1.42383	-0.0001	0.00765354
1.42484	-0.0001	0.0141234
1.42585	-0.0001	0.023914
1.42686	-0.0001	0.0370796
1.42786	-0.0001	0.0533174
1.42887	-0.0001	0.0696575
1.42988	-0.0001	0.0851507
