#n_l	N_0	probability

1.4058	0.13	-nan
1.4062	0.13	-nan
1.4066	0.13	-nan
1.407	0.13	-nan
1.4074	0.13	-nan
1.4078	0.13	-nan
1.4082	0.13	-nan
1.4086	0.13	-nan
1.409	0.13	-nan
1.4094	0.13	-nan
1.4098	0.13	-nan
1.4102	0.13	-nan
1.4106	0.13	-nan
1.411	0.13	-nan
1.4114	0.13	-nan
1.4118	0.13	-nan
1.4122	0.13	-nan
1.4126	0.13	-nan
1.413	0.13	-nan
1.4134	0.13	-nan
1.4138	0.13	-nan
1.4142	0.13	-nan
1.4146	0.13	-nan
1.415	0.13	-nan
1.4154	0.13	-nan
1.4158	0.13	-nan
1.4162	0.13	-nan
1.4166	0.13	-nan
1.417	0.13	-nan
1.4174	0.13	-nan
1.4178	0.13	-nan
1.4182	0.13	-nan
1.4186	0.13	-nan
1.419	0.13	-nan
1.4194	0.13	-nan
1.4198	0.13	-nan
1.4202	0.13	-nan
1.4206	0.13	-nan
1.421	0.13	-nan
1.4214	0.13	-nan
1.4218	0.13	-nan
1.4222	0.13	-nan
1.4226	0.13	-nan
1.423	0.13	-nan
1.4234	0.13	-nan
1.4238	0.13	-nan
1.4242	0.13	-nan
1.4246	0.13	-nan
1.425	0.13	-nan
1.4254	0.13	-nan
1.4258	0.13	-nan
1.4262	0.13	-nan
1.4266	0.13	-nan
1.427	0.13	-nan
1.4274	0.13	-nan
1.4278	0.13	-nan
1.4282	0.13	-nan
1.4286	0.13	-nan
1.429	0.13	-nan
1.4294	0.13	-nan
1.4298	0.13	-nan
1.4302	0.13	-nan
1.4306	0.13	-nan
1.431	0.13	-nan
1.4314	0.13	-nan
1.4318	0.13	-nan
1.4322	0.13	-nan
1.4326	0.13	-nan
1.433	0.13	-nan
1.4334	0.13	-nan
1.4338	0.13	-nan
1.4342	0.13	-nan
1.4346	0.13	-nan
1.435	0.13	-nan
1.4354	0.13	-nan
1.4358	0.13	-nan
1.4362	0.13	-nan
1.4366	0.13	-nan
1.437	0.13	-nan
1.4374	0.13	-nan
1.4378	0.13	-nan
1.4382	0.13	-nan
1.4386	0.13	-nan
1.439	0.13	-nan
1.4394	0.13	-nan
1.4398	0.13	-nan
1.4002	0.15	-nan
1.4006	0.15	-nan
1.401	0.15	-nan
1.4014	0.15	-nan
1.4018	0.15	-nan
1.4022	0.15	-nan
1.4026	0.15	-nan
1.403	0.15	-nan
1.4034	0.15	-nan
1.4038	0.15	-nan
1.4042	0.15	-nan
1.4046	0.15	-nan
1.405	0.15	-nan
1.4054	0.15	-nan
1.4058	0.15	-nan
1.4062	0.15	-nan
1.4066	0.15	-nan
1.407	0.15	-nan
1.4074	0.15	-nan
1.4078	0.15	-nan
1.4082	0.15	-nan
1.4086	0.15	-nan
1.409	0.15	-nan
1.4094	0.15	-nan
1.4098	0.15	-nan
1.4102	0.15	-nan
1.4106	0.15	-nan
1.411	0.15	-nan
1.4114	0.15	-nan
1.4118	0.15	-nan
1.4122	0.15	-nan
1.4126	0.15	-nan
1.413	0.15	-nan
1.4134	0.15	-nan
1.4138	0.15	-nan
1.4142	0.15	-nan
1.4146	0.15	-nan
1.415	0.15	-nan
1.4154	0.15	-nan
1.4158	0.15	-nan
1.4162	0.15	-nan
1.4166	0.15	-nan
1.417	0.15	-nan
1.4174	0.15	-nan
1.4178	0.15	-nan
1.4182	0.15	-nan
1.4186	0.15	-nan
1.419	0.15	-nan
1.4194	0.15	-nan
1.4198	0.15	-nan
1.4202	0.15	-nan
1.4206	0.15	-nan
1.421	0.15	-nan
1.4214	0.15	-nan
1.4218	0.15	-nan
1.4222	0.15	-nan
1.4226	0.15	-nan
1.423	0.15	-nan
1.4234	0.15	-nan
1.4238	0.15	-nan
1.4242	0.15	-nan
1.4246	0.15	-nan
1.425	0.15	-nan
1.4254	0.15	-nan
1.4258	0.15	-nan
1.4262	0.15	-nan
1.4266	0.15	-nan
1.427	0.15	-nan
1.4274	0.15	-nan
1.4278	0.15	-nan
1.4282	0.15	-nan
1.4286	0.15	-nan
1.429	0.15	-nan
1.4294	0.15	-nan
1.4298	0.15	-nan
1.4302	0.15	-nan
1.4306	0.15	-nan
1.431	0.15	-nan
1.4314	0.15	-nan
1.4318	0.15	-nan
1.4322	0.15	-nan
1.4326	0.15	-nan
1.433	0.15	-nan
1.4334	0.15	-nan
1.4338	0.15	-nan
1.4342	0.15	-nan
1.4346	0.15	-nan
1.435	0.15	-nan
1.4354	0.15	-nan
1.4358	0.15	-nan
1.4362	0.15	-nan
1.4366	0.15	-nan
1.437	0.15	-nan
1.4374	0.15	-nan
1.4378	0.15	-nan
1.4382	0.15	-nan
1.4386	0.15	-nan
1.439	0.15	-nan
1.4394	0.15	-nan
1.4398	0.15	-nan
1.4002	0.17	-nan
1.4006	0.17	-nan
1.401	0.17	-nan
1.4014	0.17	-nan
1.4018	0.17	-nan
1.4022	0.17	-nan
1.4026	0.17	-nan
1.403	0.17	-nan
1.4034	0.17	-nan
1.4038	0.17	-nan
1.4042	0.17	-nan
1.4046	0.17	-nan
1.405	0.17	-nan
1.4054	0.17	-nan
1.4058	0.17	-nan
1.4062	0.17	-nan
1.4066	0.17	-nan
1.407	0.17	-nan
1.4074	0.17	-nan
1.4078	0.17	-nan
1.4082	0.17	-nan
1.4086	0.17	-nan
1.409	0.17	-nan
1.4094	0.17	-nan
1.4098	0.17	-nan
1.4102	0.17	-nan
1.4106	0.17	-nan
1.411	0.17	-nan
1.4114	0.17	-nan
1.4118	0.17	-nan
1.4122	0.17	-nan
1.4126	0.17	-nan
1.413	0.17	-nan
1.4134	0.17	-nan
1.4138	0.17	-nan
1.4142	0.17	-nan
1.4146	0.17	-nan
1.415	0.17	-nan
1.4154	0.17	-nan
1.4158	0.17	-nan
1.4162	0.17	-nan
1.4166	0.17	-nan
1.417	0.17	-nan
1.4174	0.17	-nan
1.4178	0.17	-nan
1.4182	0.17	-nan
1.4186	0.17	-nan
1.419	0.17	-nan
1.4194	0.17	-nan
1.4198	0.17	-nan
1.4202	0.17	-nan
1.4206	0.17	-nan
1.421	0.17	-nan
1.4214	0.17	-nan
1.4218	0.17	-nan
1.4222	0.17	-nan
1.4226	0.17	-nan
1.423	0.17	-nan
1.4234	0.17	-nan
1.4238	0.17	-nan
1.4242	0.17	-nan
1.4246	0.17	-nan
1.425	0.17	-nan
1.4254	0.17	-nan
1.4258	0.17	-nan
1.4262	0.17	-nan
1.4266	0.17	-nan
1.427	0.17	-nan
1.4274	0.17	-nan
1.4278	0.17	-nan
1.4282	0.17	-nan
1.4286	0.17	-nan
1.429	0.17	-nan
1.4294	0.17	-nan
1.4298	0.17	-nan
1.4302	0.17	-nan
1.4306	0.17	-nan
1.431	0.17	-nan
1.4314	0.17	-nan
1.4318	0.17	-nan
1.4322	0.17	-nan
1.4326	0.17	-nan
1.433	0.17	-nan
1.4334	0.17	-nan
1.4338	0.17	-nan
1.4342	0.17	-nan
1.4346	0.17	-nan
1.435	0.17	-nan
1.4354	0.17	-nan
1.4358	0.17	-nan
1.4362	0.17	-nan
1.4366	0.17	-nan
1.437	0.17	-nan
1.4374	0.17	-nan
1.4378	0.17	-nan
