#n_l	gamma	probability

1.55255	4.85e-05	0
1.55385	4.85e-05	0
1.55515	4.85e-05	0
1.55645	4.85e-05	0
1.55775	4.85e-05	0
1.55905	4.85e-05	0
1.56035	4.85e-05	0
1.56165	4.85e-05	0
1.56295	4.85e-05	0
1.56425	4.85e-05	0
1.56555	4.85e-05	0
1.56685	4.85e-05	0
1.56815	4.85e-05	0
1.56945	4.85e-05	0
1.57075	4.85e-05	0
1.57205	4.85e-05	0
1.57335	4.85e-05	0
1.57465	4.85e-05	0
1.57595	4.85e-05	0
1.57725	4.85e-05	0
1.57855	4.85e-05	0
1.57985	4.85e-05	0
1.58115	4.85e-05	0
1.58245	4.85e-05	0
1.58375	4.85e-05	0
1.58505	4.85e-05	0
1.58635	4.85e-05	0
1.58765	4.85e-05	0
1.58895	4.85e-05	0
1.59025	4.85e-05	0
1.59155	4.85e-05	0
1.59285	4.85e-05	0
1.59415	4.85e-05	0
1.59545	4.85e-05	0
1.59675	4.85e-05	0
1.59805	4.85e-05	0
1.59935	4.85e-05	0
1.53565	4.95e-05	0
1.53695	4.95e-05	0
1.53825	4.95e-05	0
1.53955	4.95e-05	0
1.54085	4.95e-05	0
1.54215	4.95e-05	0
1.54345	4.95e-05	0
1.54475	4.95e-05	0
1.54605	4.95e-05	0
1.54735	4.95e-05	0
1.54865	4.95e-05	0
1.54995	4.95e-05	0
1.55125	4.95e-05	0
1.55255	4.95e-05	0
1.55385	4.95e-05	0
1.55515	4.95e-05	0
1.55645	4.95e-05	0
1.55775	4.95e-05	0
1.55905	4.95e-05	0
1.56035	4.95e-05	0
1.56165	4.95e-05	0
1.56295	4.95e-05	0
1.56425	4.95e-05	0
1.56555	4.95e-05	0
1.56685	4.95e-05	0
1.56815	4.95e-05	0
1.56945	4.95e-05	0
1.57075	4.95e-05	0
1.57205	4.95e-05	0
1.57335	4.95e-05	0
1.57465	4.95e-05	0
1.57595	4.95e-05	0
1.57725	4.95e-05	0
1.57855	4.95e-05	0
1.57985	4.95e-05	0
