#n_l	N_0	probability

1.42918	0.12	1.19207e-22
1.42926	0.12	6.90975e-22
1.42934	0.12	3.21524e-21
1.42941	0.12	3.82273e-20
1.42949	0.12	1.47633e-19
1.42957	0.12	5.11432e-19
1.42965	0.12	1.86709e-18
1.42973	0.12	6.53992e-18
1.4298	0.12	8.70122e-17
1.42988	0.12	4.11733e-16
1.42996	0.12	1.97183e-15
1.42224	0.128	8.09543e-139
1.42232	0.128	3.65746e-136
1.42239	0.128	1.95315e-134
1.42247	0.128	1.16191e-132
1.42255	0.128	6.97921e-129
1.42263	0.128	1.57216e-127
1.42271	0.128	5.8411e-125
1.42278	0.128	3.57102e-122
1.42286	0.128	2.95231e-120
1.42294	0.128	4.23661e-118
1.42302	0.128	7.12681e-117
1.4231	0.128	2.26019e-114
1.42317	0.128	1.10934e-112
1.42325	0.128	1.37059e-110
1.42333	0.128	2.3358e-109
1.42341	0.128	5.19304e-107
1.42349	0.128	7.9677e-106
1.42356	0.128	4.0834e-105
1.42364	0.128	2.19112e-102
1.42372	0.128	7.21958e-100
1.4238	0.128	2.41851e-99
1.42388	0.128	1.13599e-97
1.42395	0.128	6.11056e-97
1.42403	0.128	3.48618e-95
1.42411	0.128	1.56304e-93
1.42419	0.128	4.14456e-91
1.42427	0.128	1.00404e-89
1.42434	0.128	8.7138e-88
1.42442	0.128	2.32232e-86
1.4245	0.128	5.88382e-86
1.42458	0.128	1.03061e-83
1.42466	0.128	3.49069e-83
1.42473	0.128	2.9989e-81
1.42481	0.128	3.24363e-79
1.42489	0.128	1.35858e-77
1.42497	0.128	1.60451e-74
1.42505	0.128	4.59299e-73
1.42512	0.128	9.5876e-72
1.4252	0.128	1.36324e-70
1.42528	0.128	1.69203e-68
1.42536	0.128	1.73873e-67
1.42544	0.128	1.83764e-65
1.42551	0.128	4.84419e-65
1.42559	0.128	2.48895e-63
1.42567	0.128	5.35029e-62
1.42575	0.128	8.05281e-61
1.42583	0.128	1.20053e-59
1.4259	0.128	1.04849e-58
1.42598	0.128	3.88522e-58
1.42606	0.128	2.58591e-57
1.42614	0.128	1.66698e-56
1.42622	0.128	1.20189e-55
1.42629	0.128	1.53854e-54
1.42637	0.128	8.61138e-54
1.42645	0.128	1.89197e-52
1.42653	0.128	6.32805e-51
1.42661	0.128	1.15434e-49
1.42668	0.128	8.89412e-48
1.42676	0.128	7.47514e-47
1.42684	0.128	7.06065e-46
1.42692	0.128	7.34132e-45
1.427	0.128	8.97945e-44
1.42707	0.128	3.75201e-43
1.42715	0.128	6.51895e-42
1.42723	0.128	2.895e-40
1.42731	0.128	8.40373e-40
1.42739	0.128	6.27707e-38
1.42746	0.128	3.41677e-37
1.42754	0.128	3.35095e-36
1.42762	0.128	8.94982e-36
1.4277	0.128	1.349e-34
1.42778	0.128	9.32641e-33
1.42785	0.128	1.90445e-32
1.42793	0.128	2.65531e-32
1.42801	0.128	3.3919e-31
1.42809	0.128	3.39906e-30
1.42817	0.128	4.86919e-30
1.42824	0.128	6.34441e-29
1.42832	0.128	2.37141e-28
1.4284	0.128	1.28357e-27
1.42848	0.128	1.80463e-26
1.42856	0.128	3.44307e-25
1.42863	0.128	9.71866e-25
1.42871	0.128	6.24877e-24
1.42879	0.128	3.07547e-23
1.42887	0.128	5.62409e-22
1.42895	0.128	5.65075e-21
1.42902	0.128	9.80008e-21
1.4291	0.128	5.04601e-20
1.42918	0.128	3.09435e-19
1.42926	0.128	8.10131e-19
1.42934	0.128	2.64638e-18
1.42941	0.128	2.3118e-17
1.42949	0.128	2.21033e-16
1.42957	0.128	7.88591e-16
1.42965	0.128	2.61011e-15
1.42973	0.128	5.52783e-15
1.4298	0.128	2.58077e-14
1.42988	0.128	1.62765e-13
1.42996	0.128	7.52655e-13
1.42224	0.136	9.29436e-133
1.42232	0.136	2.44479e-131
1.42239	0.136	1.99643e-128
1.42247	0.136	4.20612e-126
1.42255	0.136	2.56497e-123
1.42263	0.136	6.13502e-121
1.42271	0.136	6.34037e-119
1.42278	0.136	6.45446e-117
1.42286	0.136	3.11099e-116
1.42294	0.136	1.22085e-113
1.42302	0.136	1.24666e-111
1.4231	0.136	1.45247e-108
1.42317	0.136	3.16473e-107
1.42325	0.136	8.29304e-107
1.42333	0.136	4.14714e-105
1.42341	0.136	6.39089e-103
1.42349	0.136	8.22832e-102
1.42356	0.136	3.43061e-100
1.42364	0.136	2.89889e-98
1.42372	0.136	1.51195e-96
1.4238	0.136	1.25694e-95
1.42388	0.136	2.91554e-93
1.42395	0.136	5.93992e-92
1.42403	0.136	3.11346e-90
1.42411	0.136	1.24707e-88
1.42419	0.136	1.01497e-86
1.42427	0.136	5.08352e-86
1.42434	0.136	5.83866e-84
1.42442	0.136	3.79184e-83
1.4245	0.136	4.46358e-81
1.42458	0.136	1.69494e-79
1.42466	0.136	2.54909e-78
1.42473	0.136	6.32633e-77
1.42481	0.136	5.93535e-75
1.42489	0.136	6.81265e-73
1.42497	0.136	9.90479e-72
1.42505	0.136	3.65493e-69
1.42512	0.136	3.42846e-68
1.4252	0.136	5.91874e-67
1.42528	0.136	4.60239e-66
1.42536	0.136	2.44495e-64
1.42544	0.136	1.21347e-62
1.42551	0.136	4.69742e-62
1.42559	0.136	1.72122e-60
1.42567	0.136	3.37614e-59
1.42575	0.136	2.18567e-58
1.42583	0.136	9.7458e-58
1.4259	0.136	6.76981e-57
1.42598	0.136	5.34957e-56
1.42606	0.136	1.65597e-54
1.42614	0.136	4.39061e-53
1.42622	0.136	5.00959e-52
1.42629	0.136	5.46944e-50
1.42637	0.136	2.89013e-49
1.42645	0.136	6.27949e-48
1.42653	0.136	3.99737e-47
1.42661	0.136	7.68514e-46
1.42668	0.136	1.17085e-44
1.42676	0.136	1.41042e-43
1.42684	0.136	8.21223e-43
1.42692	0.136	1.08483e-41
1.427	0.136	5.57976e-41
1.42707	0.136	3.70891e-40
1.42715	0.136	4.63496e-39
1.42723	0.136	2.06287e-38
1.42731	0.136	2.66083e-37
1.42739	0.136	9.18414e-36
1.42746	0.136	8.4434e-35
1.42754	0.136	5.85619e-34
1.42762	0.136	6.98488e-33
1.4277	0.136	2.14583e-32
1.42778	0.136	1.19779e-31
1.42785	0.136	1.48409e-30
1.42793	0.136	1.27973e-29
1.42801	0.136	7.39575e-29
1.42809	0.136	4.3394e-28
1.42817	0.136	2.43991e-27
1.42824	0.136	1.29796e-26
1.42832	0.136	1.7258e-25
1.4284	0.136	3.48678e-25
1.42848	0.136	3.27276e-24
1.42856	0.136	1.9108e-23
1.42863	0.136	1.02605e-22
1.42871	0.136	1.22238e-21
1.42879	0.136	7.89421e-21
1.42887	0.136	1.51883e-20
1.42895	0.136	7.15658e-20
1.42902	0.136	1.23901e-18
1.4291	0.136	1.03403e-17
1.42918	0.136	2.11159e-17
1.42926	0.136	1.14167e-16
1.42934	0.136	7.87116e-16
1.42941	0.136	2.31772e-15
1.42949	0.136	1.8816e-14
1.42957	0.136	7.9862e-14
1.42965	0.136	4.74256e-13
1.42973	0.136	1.91525e-12
1.4298	0.136	2.74335e-11
1.42988	0.136	3.10653e-10
1.42996	0.136	5.08422e-10
1.42224	0.144	4.02431e-127
1.42232	0.144	7.88148e-125
1.42239	0.144	1.11247e-122
1.42247	0.144	1.90958e-120
1.42255	0.144	2.74847e-118
1.42263	0.144	1.27367e-117
1.42271	0.144	2.53758e-115
1.42278	0.144	1.72476e-112
1.42286	0.144	1.39419e-110
1.42294	0.144	4.532e-109
1.42302	0.144	2.26503e-107
1.4231	0.144	3.76462e-106
1.42317	0.144	8.9418e-103
1.42325	0.144	8.29556e-102
1.42333	0.144	2.97141e-101
1.42341	0.144	7.36553e-100
1.42349	0.144	3.42522e-98
1.42356	0.144	4.27329e-95
1.42364	0.144	1.60225e-94
1.42372	0.144	2.43672e-93
1.4238	0.144	5.79832e-91
1.42388	0.144	8.32277e-90
1.42395	0.144	1.81713e-87
1.42403	0.144	4.30705e-86
1.42411	0.144	9.77011e-85
1.42419	0.144	1.34237e-82
1.42427	0.144	6.25841e-81
1.42434	0.144	1.51654e-79
1.42442	0.144	1.67214e-78
1.4245	0.144	3.40744e-77
1.42458	0.144	3.46011e-75
1.42466	0.144	1.62096e-73
1.42473	0.144	9.6258e-72
1.42481	0.144	3.99677e-70
1.42489	0.144	1.23526e-68
1.42497	0.144	3.71254e-67
1.42505	0.144	2.30798e-66
1.42512	0.144	3.82783e-65
1.4252	0.144	2.37745e-63
1.42528	0.144	1.12801e-61
1.42536	0.144	8.93007e-61
1.42544	0.144	9.53708e-60
1.42551	0.144	1.28749e-58
1.42559	0.144	2.23343e-58
1.42567	0.144	2.83142e-57
1.42575	0.144	6.2198e-56
1.42583	0.144	3.38945e-54
1.4259	0.144	8.44799e-53
1.42598	0.144	9.06467e-52
1.42606	0.144	9.99673e-50
1.42614	0.144	6.24624e-49
1.42622	0.144	5.31293e-48
1.42629	0.144	1.74547e-46
1.42637	0.144	3.54223e-45
1.42645	0.144	3.02617e-44
1.42653	0.144	1.16516e-43
1.42661	0.144	2.31017e-42
1.42668	0.144	3.45622e-41
1.42676	0.144	3.59778e-40
1.42684	0.144	5.41968e-39
1.42692	0.144	1.17114e-38
1.427	0.144	5.02491e-38
1.42707	0.144	2.61774e-37
1.42715	0.144	4.60669e-36
1.42723	0.144	6.41055e-35
1.42731	0.144	5.3944e-34
1.42739	0.144	1.65469e-32
1.42746	0.144	8.60997e-32
1.42754	0.144	1.74132e-30
1.42762	0.144	1.3995e-29
1.4277	0.144	1.7295e-28
1.42778	0.144	3.22294e-27
1.42785	0.144	6.65654e-27
1.42793	0.144	4.1536e-26
1.42801	0.144	1.11414e-25
1.42809	0.144	6.00197e-25
1.42817	0.144	5.38466e-24
1.42824	0.144	2.03072e-23
1.42832	0.144	9.21671e-23
1.4284	0.144	1.49404e-22
1.42848	0.144	1.59875e-21
1.42856	0.144	1.22239e-20
1.42863	0.144	2.8979e-20
1.42871	0.144	1.20284e-19
1.42879	0.144	5.92986e-19
1.42887	0.144	4.91629e-18
1.42895	0.144	4.89202e-17
1.42902	0.144	1.50367e-16
1.4291	0.144	4.39741e-16
1.42918	0.144	3.19482e-15
1.42926	0.144	3.3339e-14
1.42934	0.144	3.79972e-13
1.42941	0.144	1.46464e-12
1.42949	0.144	7.55998e-12
1.42957	0.144	1.74957e-10
1.42965	0.144	4.91811e-10
1.42973	0.144	1.209e-09
1.4298	0.144	5.42414e-09
1.42988	0.144	1.02862e-08
1.42996	0.144	2.22431e-08
1.42224	0.152	2.28342e-120
1.42232	0.152	7.20809e-117
1.42239	0.152	1.92642e-115
1.42247	0.152	1.84466e-114
1.42255	0.152	3.31475e-111
1.42263	0.152	2.16119e-109
1.42271	0.152	1.6822e-107
1.42278	0.152	5.808e-106
1.42286	0.152	3.70438e-105
1.42294	0.152	3.95693e-103
1.42302	0.152	1.93515e-100
1.4231	0.152	5.82588e-99
1.42317	0.152	3.7736e-98
1.42325	0.152	2.13388e-96
1.42333	0.152	1.28291e-95
1.42341	0.152	3.36431e-93
1.42349	0.152	5.87895e-92
1.42356	0.152	7.12218e-90
1.42364	0.152	2.02727e-88
1.42372	0.152	1.85161e-86
1.4238	0.152	2.39157e-85
1.42388	0.152	8.00572e-84
1.42395	0.152	1.92594e-81
1.42403	0.152	2.53736e-80
1.42411	0.152	1.59096e-78
1.42419	0.152	1.16974e-76
1.42427	0.152	4.7644e-76
1.42434	0.152	7.43215e-75
1.42442	0.152	2.46023e-73
1.4245	0.152	1.65326e-71
1.42458	0.152	4.93446e-69
1.42466	0.152	1.52534e-67
1.42473	0.152	5.44186e-66
1.42481	0.152	5.39462e-64
1.42489	0.152	1.20577e-63
1.42497	0.152	5.84093e-62
1.42505	0.152	1.30169e-60
1.42512	0.152	3.32921e-59
1.4252	0.152	1.6477e-58
1.42528	0.152	1.18247e-56
1.42536	0.152	1.03557e-55
1.42544	0.152	2.60528e-55
1.42551	0.152	5.09726e-54
1.42559	0.152	3.32661e-53
1.42567	0.152	3.30225e-52
1.42575	0.152	1.77916e-50
1.42583	0.152	3.45237e-49
1.4259	0.152	3.81106e-47
1.42598	0.152	7.12752e-46
1.42606	0.152	1.84034e-45
1.42614	0.152	3.20444e-44
1.42622	0.152	3.77567e-43
1.42629	0.152	4.44491e-42
1.42637	0.152	2.39827e-41
1.42645	0.152	2.7406e-40
1.42653	0.152	2.3172e-39
1.42661	0.152	2.2048e-38
1.42668	0.152	1.24254e-37
1.42676	0.152	1.18527e-36
1.42684	0.152	3.83759e-35
1.42692	0.152	4.76733e-34
1.427	0.152	4.61795e-32
1.42707	0.152	1.86302e-31
1.42715	0.152	1.26676e-30
1.42723	0.152	9.80922e-30
1.42731	0.152	1.95368e-27
1.42739	0.152	3.94392e-27
1.42746	0.152	2.49109e-26
1.42754	0.152	4.21871e-25
1.42762	0.152	1.48063e-24
1.4277	0.152	2.97251e-23
1.42778	0.152	3.62362e-23
1.42785	0.152	3.46706e-22
