#n_l	theta_0	probability

1.42349	-0.000368	4.29775e-33
1.42356	-0.000368	7.33473e-34
1.42364	-0.000368	3.12699e-33
1.42372	-0.000368	2.62648e-32
1.4238	-0.000368	5.22375e-33
1.42388	-0.000368	4.16185e-32
1.42395	-0.000368	2.35126e-32
1.42403	-0.000368	3.80047e-31
1.42411	-0.000368	3.53815e-31
1.42419	-0.000368	2.62419e-30
1.42427	-0.000368	1.39105e-30
1.42434	-0.000368	4.21747e-30
1.42442	-0.000368	3.71965e-30
1.4245	-0.000368	2.44189e-30
1.42458	-0.000368	2.18243e-29
1.42466	-0.000368	2.64883e-29
1.42473	-0.000368	4.59307e-29
1.42481	-0.000368	6.71655e-29
1.42489	-0.000368	4.51409e-28
1.42497	-0.000368	8.68397e-28
1.42505	-0.000368	8.72786e-28
1.42512	-0.000368	2.02577e-27
1.4252	-0.000368	1.21441e-27
1.42528	-0.000368	1.98351e-27
1.42536	-0.000368	3.82897e-27
1.42544	-0.000368	4.9151e-27
1.42551	-0.000368	4.25897e-27
1.42559	-0.000368	4.50036e-27
1.42567	-0.000368	4.29283e-27
1.42575	-0.000368	7.33195e-27
1.42583	-0.000368	1.39864e-26
1.4259	-0.000368	1.65268e-26
1.42598	-0.000368	4.26936e-26
1.42606	-0.000368	3.78535e-26
1.42614	-0.000368	1.53627e-25
1.42622	-0.000368	1.44256e-25
1.42629	-0.000368	2.76559e-25
1.42637	-0.000368	1.41443e-24
1.42645	-0.000368	5.89898e-25
1.42653	-0.000368	6.59489e-24
1.42661	-0.000368	6.22773e-25
1.42668	-0.000368	9.01449e-25
1.42676	-0.000368	2.65832e-25
1.42684	-0.000368	7.51086e-26
1.42692	-0.000368	6.76356e-26
1.427	-0.000368	3.38721e-25
1.42707	-0.000368	4.44171e-25
1.42715	-0.000368	1.68546e-24
1.42723	-0.000368	2.17171e-24
1.42731	-0.000368	5.50258e-24
1.42739	-0.000368	1.37298e-24
1.42746	-0.000368	2.911e-25
1.42754	-0.000368	2.46179e-25
1.42762	-0.000368	2.90865e-25
1.4277	-0.000368	4.62885e-25
1.42778	-0.000368	1.13068e-25
1.42785	-0.000368	5.04068e-25
1.42793	-0.000368	4.02638e-25
1.42801	-0.000368	1.56805e-24
1.42809	-0.000368	2.36164e-24
1.42817	-0.000368	1.39519e-24
1.42824	-0.000368	7.87955e-26
1.42832	-0.000368	3.60952e-26
1.4284	-0.000368	3.23353e-26
1.42848	-0.000368	7.355e-26
1.42856	-0.000368	2.09938e-26
