#theta_0	gamma	probability

-0.00625	5.6e-05	133.211
-0.00575	5.6e-05	71.7224
-0.00525	5.6e-05	76.8609
-0.00475	5.6e-05	6.74442
-0.00425	5.6e-05	0.281235
-0.00375	5.6e-05	0.126327
-0.00325	5.6e-05	0.0519822
-0.00275	5.6e-05	0.00408359
-0.00225	5.6e-05	0.000194379
-0.00175	5.6e-05	0.0001103
-0.00125	5.6e-05	2.96311e-05
-0.00075	5.6e-05	4.3047e-07
-0.00025	5.6e-05	9.58562e-08
-0.00975	6e-05	97.142
-0.00925	6e-05	143.883
-0.00875	6e-05	180.954
-0.00825	6e-05	202.529
-0.00775	6e-05	224.791
-0.00725	6e-05	259.337
-0.00675	6e-05	221.603
-0.00625	6e-05	262.92
-0.00575	6e-05	92.0536
-0.00525	6e-05	65.8654
-0.00475	6e-05	75.949
-0.00425	6e-05	0.607039
-0.00375	6e-05	0.217495
-0.00325	6e-05	0.0515159
-0.00275	6e-05	0.00277628
-0.00225	6e-05	0.000205859
-0.00175	6e-05	0.000133692
-0.00125	6e-05	6.38892e-05
-0.00075	6e-05	4.01622e-07
-0.00025	6e-05	3.44513e-08
-0.00975	6.4e-05	218.171
-0.00925	6.4e-05	314.841
-0.00875	6.4e-05	776.198
-0.00825	6.4e-05	10540.9
-0.00775	6.4e-05	70656
-0.00725	6.4e-05	54102
-0.00675	6.4e-05	57976.6
-0.00625	6.4e-05	330.145
-0.00575	6.4e-05	208.791
-0.00525	6.4e-05	71.1592
-0.00475	6.4e-05	0.902756
-0.00425	6.4e-05	0.344359
-0.00375	6.4e-05	0.196966
-0.00325	6.4e-05	0.120735
-0.00275	6.4e-05	0.00333761
-0.00225	6.4e-05	0.000235564
-0.00175	6.4e-05	0.000127696
-0.00125	6.4e-05	6.40592e-05
-0.00075	6.4e-05	4.39927e-07
-0.00025	6.4e-05	1.08238e-318
-0.00975	6.8e-05	82973.2
-0.00925	6.8e-05	83128.6
-0.00875	6.8e-05	103803
-0.00825	6.8e-05	162312
-0.00775	6.8e-05	139599
-0.00725	6.8e-05	54230.2
-0.00675	6.8e-05	58035.8
-0.00625	6.8e-05	416.516
-0.00575	6.8e-05	154.475
-0.00525	6.8e-05	81.9805
-0.00475	6.8e-05	29.8755
-0.00425	6.8e-05	0.657316
-0.00375	6.8e-05	0.176967
-0.00325	6.8e-05	0.115757
-0.00275	6.8e-05	0.00437938
-0.00225	6.8e-05	0.000392374
-0.00175	6.8e-05	0.000175222
-0.00125	6.8e-05	6.24531e-05
-0.00075	6.8e-05	2.82984e-318
-0.00025	6.8e-05	6.23298e-319
-0.00975	7.2e-05	184845
-0.00925	7.2e-05	200165
-0.00875	7.2e-05	222909
-0.00825	7.2e-05	313322
-0.00775	7.2e-05	152598
-0.00725	7.2e-05	58099.3
-0.00675	7.2e-05	58115.2
-0.00625	7.2e-05	773.748
-0.00575	7.2e-05	313.123
-0.00525	7.2e-05	147.01
-0.00475	7.2e-05	1.22329
-0.00425	7.2e-05	0.542867
-0.00375	7.2e-05	0.289655
-0.00325	7.2e-05	0.118796
-0.00275	7.2e-05	0.012309
-0.00225	7.2e-05	0.000216337
-0.00175	7.2e-05	9.52103e-05
-0.00125	7.2e-05	6.37164e-318
-0.00075	7.2e-05	8.81201e-319
-0.00025	7.2e-05	0
-0.00975	7.6e-05	4.63787e+07
-0.00925	7.6e-05	2.46525e+07
-0.00875	7.6e-05	3.01182e+07
-0.00825	7.6e-05	292015
-0.00775	7.6e-05	167204
-0.00725	7.6e-05	58292.7
-0.00675	7.6e-05	854.263
-0.00625	7.6e-05	313.872
-0.00575	7.6e-05	150.37
-0.00525	7.6e-05	96.2124
-0.00475	7.6e-05	76.3817
-0.00425	7.6e-05	0.515898
-0.00375	7.6e-05	0.299949
-0.00325	7.6e-05	0.156302
-0.00275	7.6e-05	0.00181555
-0.00225	7.6e-05	0.00024957
-0.00175	7.6e-05	2.9926e-316
-0.00125	7.6e-05	2.92371e-318
-0.00075	7.6e-05	0
-0.00025	7.6e-05	0
-0.00975	8e-05	7.62693e+07
-0.00925	8e-05	2.46962e+07
-0.00875	8e-05	2.64025e+07
-0.00825	8e-05	227256
-0.00775	8e-05	167338
-0.00725	8e-05	58572.5
-0.00675	8e-05	2273.4
-0.00625	8e-05	463.403
-0.00575	8e-05	292.427
-0.00525	8e-05	148.975
-0.00475	8e-05	9.03253
-0.00425	8e-05	1.1278
-0.00375	8e-05	0.34432
-0.00325	8e-05	0.109382
-0.00275	8e-05	0.0145105
-0.00225	8e-05	3.37648e-315
-0.00175	8e-05	7.07672e-317
-0.00125	8e-05	0
-0.00075	8e-05	0
-0.00025	8e-05	0
-0.00975	8.4e-05	7.13723e+07
-0.00925	8.4e-05	2.30852e+07
-0.00875	8.4e-05	2.46778e+07
-0.00825	8.4e-05	239976
-0.00775	8.4e-05	117771
-0.00725	8.4e-05	66079.4
-0.00675	8.4e-05	50270.8
-0.00625	8.4e-05	613.774
-0.00575	8.4e-05	397.625
-0.00525	8.4e-05	142.517
-0.00475	8.4e-05	4.59591
-0.00425	8.4e-05	1.16396
-0.00375	8.4e-05	0.255402
-0.00325	8.4e-05	0.11436
-0.00275	8.4e-05	5.94567e-315
-0.00225	8.4e-05	1.19987e-315
-0.00175	8.4e-05	0
-0.00125	8.4e-05	0
-0.00075	8.4e-05	0
-0.00025	8.4e-05	0
-0.00975	8.8e-05	6.85267e+07
-0.00925	8.8e-05	5.4947e+07
-0.00875	8.8e-05	2.46907e+07
-0.00825	8.8e-05	284212
-0.00775	8.8e-05	201606
-0.00725	8.8e-05	112217
-0.00675	8.8e-05	58486.8
-0.00625	8.8e-05	1285.41
-0.00575	8.8e-05	347.216
-0.00525	8.8e-05	142.462
-0.00475	8.8e-05	78.5779
-0.00425	8.8e-05	0.981788
-0.00375	8.8e-05	0.177732
-0.00325	8.8e-05	1.27863e-314
-0.00275	8.8e-05	4.22979e-315
-0.00225	8.8e-05	0
-0.00175	8.8e-05	0
-0.00125	8.8e-05	0
-0.00075	8.8e-05	0
-0.00025	8.8e-05	0
