#n_l	theta_0	probability

1.41637	-0.000384	3.30364e-76
1.41643	-0.000384	2.8248e-75
1.4165	-0.000384	3.81947e-74
1.41656	-0.000384	1.65145e-73
1.41662	-0.000384	8.10453e-73
1.41669	-0.000384	2.79e-72
1.41675	-0.000384	7.78951e-71
1.41682	-0.000384	2.62516e-70
1.41688	-0.000384	4.44861e-70
1.41694	-0.000384	1.38848e-68
1.41701	-0.000384	1.78751e-68
1.41707	-0.000384	9.57209e-68
1.41714	-0.000384	5.07504e-67
1.4172	-0.000384	8.32561e-66
1.41726	-0.000384	3.35252e-65
1.41733	-0.000384	3.531e-64
1.41739	-0.000384	3.96876e-63
1.41746	-0.000384	1.09194e-61
1.41752	-0.000384	1.14277e-60
1.41758	-0.000384	2.5341e-60
1.41765	-0.000384	2.44579e-60
1.41771	-0.000384	6.88728e-60
1.41778	-0.000384	2.30092e-59
1.41784	-0.000384	1.2094e-58
1.4179	-0.000384	1.09613e-58
1.41797	-0.000384	2.60184e-58
1.41803	-0.000384	1.04649e-57
1.4181	-0.000384	6.19809e-57
1.41816	-0.000384	2.63447e-56
1.41822	-0.000384	6.63313e-56
1.41829	-0.000384	7.31783e-55
1.41835	-0.000384	2.34236e-54
1.41842	-0.000384	5.46405e-54
1.41848	-0.000384	1.97674e-53
1.41854	-0.000384	5.99972e-53
1.41861	-0.000384	1.41721e-52
1.41867	-0.000384	8.73416e-53
1.41874	-0.000384	2.89973e-53
1.4188	-0.000384	2.2341e-53
1.41886	-0.000384	2.02819e-53
1.41893	-0.000384	2.96727e-53
1.41899	-0.000384	4.7691e-53
1.41906	-0.000384	1.77896e-53
1.41912	-0.000384	6.47571e-54
1.41918	-0.000384	9.82036e-54
1.41925	-0.000384	4.86595e-54
1.41931	-0.000384	7.07728e-54
1.41938	-0.000384	9.47115e-56
1.41944	-0.000384	1.46161e-55
1.4195	-0.000384	2.87846e-56
1.41957	-0.000384	8.10298e-57
1.41963	-0.000384	1.84483e-56
1.4197	-0.000384	9.44765e-58
1.41976	-0.000384	3.85722e-58
1.41982	-0.000384	3.01914e-58
1.41989	-0.000384	8.47191e-58
1.41995	-0.000384	1.10816e-57
1.42002	-0.000384	1.88398e-57
1.42008	-0.000384	9.52928e-57
1.42014	-0.000384	1.11066e-56
1.42021	-0.000384	1.65069e-56
1.42027	-0.000384	6.95782e-57
1.42034	-0.000384	2.28414e-58
1.4204	-0.000384	3.84045e-59
1.42046	-0.000384	1.95206e-60
1.42053	-0.000384	1.93418e-61
1.42059	-0.000384	1.0919e-61
1.42066	-0.000384	4.89866e-62
1.42072	-0.000384	1.89049e-62
1.42078	-0.000384	3.57153e-63
1.42085	-0.000384	3.69797e-63
1.42091	-0.000384	2.49804e-63
1.42098	-0.000384	1.52069e-63
1.42104	-0.000384	1.91985e-63
1.4211	-0.000384	2.93888e-63
1.42117	-0.000384	3.5888e-63
1.41483	-0.0003776	2.59047e-103
1.4149	-0.0003776	1.18997e-102
1.41496	-0.0003776	3.0834e-100
1.41502	-0.0003776	3.83582e-99
1.41509	-0.0003776	3.45764e-96
1.41515	-0.0003776	1.68277e-95
1.41522	-0.0003776	7.24652e-94
1.41528	-0.0003776	4.81437e-91
1.41534	-0.0003776	2.03632e-90
1.41541	-0.0003776	1.25192e-88
1.41547	-0.0003776	7.21128e-88
1.41554	-0.0003776	3.91294e-86
1.4156	-0.0003776	2.21594e-85
1.41566	-0.0003776	3.86651e-84
1.41573	-0.0003776	1.0879e-83
1.41579	-0.0003776	9.66744e-84
1.41586	-0.0003776	3.56456e-83
1.41592	-0.0003776	1.27672e-80
1.41598	-0.0003776	5.6857e-79
1.41605	-0.0003776	1.1608e-77
1.41611	-0.0003776	6.59205e-77
1.41618	-0.0003776	3.38109e-76
1.41624	-0.0003776	2.00458e-75
1.4163	-0.0003776	4.3213e-73
1.41637	-0.0003776	3.49601e-72
1.41643	-0.0003776	2.24894e-71
1.4165	-0.0003776	3.47577e-71
1.41656	-0.0003776	1.11527e-70
1.41662	-0.0003776	3.5609e-70
1.41669	-0.0003776	2.71944e-69
1.41675	-0.0003776	2.28573e-68
1.41682	-0.0003776	3.06135e-67
1.41688	-0.0003776	6.44114e-66
1.41694	-0.0003776	9.64114e-65
1.41701	-0.0003776	2.91746e-64
1.41707	-0.0003776	2.72861e-63
1.41714	-0.0003776	2.3154e-62
1.4172	-0.0003776	5.6807e-62
1.41726	-0.0003776	1.39667e-61
1.41733	-0.0003776	4.05194e-61
1.41739	-0.0003776	1.23849e-60
1.41746	-0.0003776	1.18459e-59
1.41752	-0.0003776	5.92491e-59
1.41758	-0.0003776	4.94344e-58
1.41765	-0.0003776	1.52816e-57
1.41771	-0.0003776	6.02816e-57
1.41778	-0.0003776	1.72401e-56
1.41784	-0.0003776	3.13476e-56
1.4179	-0.0003776	8.40409e-56
1.41797	-0.0003776	5.18493e-55
1.41803	-0.0003776	2.43197e-54
1.4181	-0.0003776	2.53381e-53
1.41816	-0.0003776	1.35289e-52
1.41822	-0.0003776	3.89751e-52
1.41829	-0.0003776	1.88857e-51
1.41835	-0.0003776	2.87254e-51
1.41842	-0.0003776	1.05158e-50
1.41848	-0.0003776	1.44809e-50
1.41854	-0.0003776	2.65484e-50
1.41861	-0.0003776	3.1866e-50
1.41867	-0.0003776	6.11296e-50
1.41874	-0.0003776	4.84826e-50
1.4188	-0.0003776	5.50131e-50
1.41886	-0.0003776	3.16881e-50
1.41893	-0.0003776	7.26658e-50
1.41899	-0.0003776	7.93605e-50
1.41906	-0.0003776	3.4858e-50
1.41912	-0.0003776	2.15807e-50
1.41918	-0.0003776	6.48833e-50
1.41925	-0.0003776	8.54655e-51
1.41931	-0.0003776	2.03983e-50
1.41938	-0.0003776	3.03338e-51
1.41944	-0.0003776	2.4377e-52
1.4195	-0.0003776	1.44023e-53
1.41957	-0.0003776	1.67289e-53
1.41963	-0.0003776	1.17601e-53
1.4197	-0.0003776	8.86675e-54
1.41976	-0.0003776	1.32658e-54
1.41982	-0.0003776	2.51123e-54
1.41989	-0.0003776	5.55458e-54
1.41995	-0.0003776	4.86704e-55
1.42002	-0.0003776	1.69568e-54
1.42008	-0.0003776	1.09745e-54
1.42014	-0.0003776	3.54162e-55
1.42021	-0.0003776	1.16768e-55
1.42027	-0.0003776	2.21778e-56
1.42034	-0.0003776	1.99488e-56
1.4204	-0.0003776	1.00825e-56
1.42046	-0.0003776	2.37758e-57
1.42053	-0.0003776	1.01846e-57
1.42059	-0.0003776	5.17222e-59
1.42066	-0.0003776	2.56103e-60
1.42072	-0.0003776	2.20048e-60
1.42078	-0.0003776	4.41237e-61
1.42085	-0.0003776	3.26616e-61
1.42091	-0.0003776	1.87872e-61
1.42098	-0.0003776	7.42272e-62
1.42104	-0.0003776	3.21414e-62
1.4211	-0.0003776	2.59412e-62
1.42117	-0.0003776	6.8392e-63
1.41483	-0.0003712	1.90919e-101
1.4149	-0.0003712	1.00718e-99
1.41496	-0.0003712	1.84942e-97
1.41502	-0.0003712	1.30705e-93
1.41509	-0.0003712	6.04234e-93
1.41515	-0.0003712	4.49173e-92
1.41522	-0.0003712	5.00114e-90
1.41528	-0.0003712	3.85262e-88
1.41534	-0.0003712	1.28816e-87
1.41541	-0.0003712	2.30921e-85
1.41547	-0.0003712	2.08418e-84
1.41554	-0.0003712	2.99535e-83
1.4156	-0.0003712	1.1464e-82
1.41566	-0.0003712	1.03548e-81
1.41573	-0.0003712	1.64984e-81
1.41579	-0.0003712	5.91006e-81
1.41586	-0.0003712	8.08952e-80
1.41592	-0.0003712	2.51904e-77
1.41598	-0.0003712	1.11782e-76
1.41605	-0.0003712	4.421e-76
1.41611	-0.0003712	4.71906e-75
1.41618	-0.0003712	7.19866e-73
1.41624	-0.0003712	1.34841e-71
1.4163	-0.0003712	9.4383e-71
1.41637	-0.0003712	1.41053e-69
1.41643	-0.0003712	6.4691e-69
1.4165	-0.0003712	2.98172e-68
1.41656	-0.0003712	1.84931e-67
1.41662	-0.0003712	6.36844e-66
1.41669	-0.0003712	4.99326e-65
1.41675	-0.0003712	1.36275e-64
1.41682	-0.0003712	6.72202e-64
1.41688	-0.0003712	7.10064e-63
1.41694	-0.0003712	7.48203e-63
1.41701	-0.0003712	1.24142e-61
1.41707	-0.0003712	2.35895e-60
1.41714	-0.0003712	2.56036e-59
1.4172	-0.0003712	1.26985e-58
1.41726	-0.0003712	5.9577e-58
1.41733	-0.0003712	8.54136e-58
1.41739	-0.0003712	2.141e-57
1.41746	-0.0003712	2.79633e-57
1.41752	-0.0003712	6.65594e-57
1.41758	-0.0003712	5.64157e-56
1.41765	-0.0003712	1.13655e-55
1.41771	-0.0003712	7.55525e-55
1.41778	-0.0003712	9.62333e-54
1.41784	-0.0003712	1.05261e-52
1.4179	-0.0003712	3.30251e-52
1.41797	-0.0003712	4.69876e-51
1.41803	-0.0003712	7.50085e-51
1.4181	-0.0003712	2.67908e-50
1.41816	-0.0003712	5.18323e-50
1.41822	-0.0003712	2.79243e-49
1.41829	-0.0003712	5.89452e-49
1.41835	-0.0003712	1.11639e-48
1.41842	-0.0003712	1.60157e-48
1.41848	-0.0003712	1.63972e-47
1.41854	-0.0003712	1.44749e-47
1.41861	-0.0003712	2.54656e-47
1.41867	-0.0003712	4.05428e-47
1.41874	-0.0003712	1.6976e-47
1.4188	-0.0003712	1.33776e-47
1.41886	-0.0003712	3.50002e-47
1.41893	-0.0003712	5.41436e-47
1.41899	-0.0003712	2.46862e-47
1.41906	-0.0003712	5.55158e-47
1.41912	-0.0003712	2.56456e-47
1.41918	-0.0003712	3.2309e-47
1.41925	-0.0003712	2.72506e-47
1.41931	-0.0003712	7.82107e-47
1.41938	-0.0003712	2.6754e-48
1.41944	-0.0003712	1.39067e-48
1.4195	-0.0003712	4.43795e-49
1.41957	-0.0003712	2.81028e-50
1.41963	-0.0003712	1.73014e-50
1.4197	-0.0003712	3.96526e-50
1.41976	-0.0003712	1.41819e-49
1.41982	-0.0003712	1.18462e-49
1.41989	-0.0003712	4.7869e-50
1.41995	-0.0003712	5.16719e-50
1.42002	-0.0003712	3.67591e-51
1.42008	-0.0003712	4.74285e-53
1.42014	-0.0003712	1.98208e-54
1.42021	-0.0003712	6.52158e-55
1.42027	-0.0003712	1.02867e-54
1.42034	-0.0003712	9.83678e-55
1.4204	-0.0003712	2.77282e-55
1.42046	-0.0003712	3.70835e-55
1.42053	-0.0003712	5.04009e-56
1.42059	-0.0003712	3.33732e-57
1.42066	-0.0003712	1.41293e-57
1.42072	-0.0003712	2.24413e-58
1.42078	-0.0003712	3.44065e-59
1.42085	-0.0003712	1.46664e-59
1.42091	-0.0003712	2.99329e-60
1.42098	-0.0003712	8.14536e-61
1.42104	-0.0003712	5.89186e-61
1.4211	-0.0003712	3.2266e-61
1.42117	-0.0003712	4.38022e-61
1.41483	-0.0003648	1.16673e-97
1.4149	-0.0003648	9.74676e-95
1.41496	-0.0003648	6.38196e-93
1.41502	-0.0003648	1.34177e-91
1.41509	-0.0003648	7.55275e-91
1.41515	-0.0003648	2.57169e-88
1.41522	-0.0003648	6.56551e-86
1.41528	-0.0003648	7.37745e-86
1.41534	-0.0003648	1.68347e-84
1.41541	-0.0003648	7.47246e-84
1.41547	-0.0003648	7.72456e-83
1.41554	-0.0003648	5.38366e-82
1.4156	-0.0003648	9.47906e-81
1.41566	-0.0003648	2.11499e-79
1.41573	-0.0003648	2.71182e-78
1.41579	-0.0003648	2.58597e-76
1.41586	-0.0003648	8.70673e-75
1.41592	-0.0003648	1.5275e-74
1.41598	-0.0003648	1.33091e-74
1.41605	-0.0003648	9.77341e-74
1.41611	-0.0003648	4.4623e-72
1.41618	-0.0003648	1.04169e-70
1.41624	-0.0003648	1.94195e-69
1.4163	-0.0003648	3.89451e-68
1.41637	-0.0003648	4.19478e-67
1.41643	-0.0003648	1.04549e-65
1.4165	-0.0003648	7.59249e-65
1.41656	-0.0003648	3.19852e-63
1.41662	-0.0003648	2.87518e-62
1.41669	-0.0003648	4.63206e-62
1.41675	-0.0003648	8.04225e-62
1.41682	-0.0003648	1.50614e-60
1.41688	-0.0003648	6.15498e-60
1.41694	-0.0003648	4.84071e-59
1.41701	-0.0003648	2.42071e-58
1.41707	-0.0003648	7.63634e-57
1.41714	-0.0003648	1.26889e-55
1.4172	-0.0003648	2.04568e-54
1.41726	-0.0003648	5.21489e-54
1.41733	-0.0003648	1.24647e-53
1.41739	-0.0003648	1.02917e-53
1.41746	-0.0003648	2.90377e-53
1.41752	-0.0003648	8.42913e-54
1.41758	-0.0003648	1.10231e-53
1.41765	-0.0003648	4.47057e-53
1.41771	-0.0003648	4.32989e-52
1.41778	-0.0003648	4.68783e-51
1.41784	-0.0003648	2.28283e-49
1.4179	-0.0003648	7.70926e-49
1.41797	-0.0003648	2.7996e-48
1.41803	-0.0003648	5.58624e-48
1.4181	-0.0003648	2.89442e-47
1.41816	-0.0003648	1.24494e-46
1.41822	-0.0003648	2.0573e-46
1.41829	-0.0003648	4.33138e-46
1.41835	-0.0003648	7.81057e-46
1.41842	-0.0003648	9.22635e-46
1.41848	-0.0003648	5.17443e-46
1.41854	-0.0003648	5.72722e-46
1.41861	-0.0003648	5.70894e-46
1.41867	-0.0003648	1.072e-45
1.41874	-0.0003648	6.5747e-45
1.4188	-0.0003648	5.95369e-45
1.41886	-0.0003648	1.1064e-44
1.41893	-0.0003648	3.64443e-44
1.41899	-0.0003648	3.17725e-44
1.41906	-0.0003648	2.5466e-44
1.41912	-0.0003648	3.12397e-44
1.41918	-0.0003648	2.19e-44
1.41925	-0.0003648	2.04717e-44
1.41931	-0.0003648	1.94539e-44
1.41938	-0.0003648	1.97505e-44
1.41944	-0.0003648	6.36064e-45
1.4195	-0.0003648	3.51226e-45
1.41957	-0.0003648	1.38454e-45
1.41963	-0.0003648	3.17392e-46
1.4197	-0.0003648	4.36612e-47
1.41976	-0.0003648	3.74174e-47
1.41982	-0.0003648	1.62843e-46
1.41989	-0.0003648	6.20373e-46
1.41995	-0.0003648	7.26946e-47
1.42002	-0.0003648	6.93251e-48
1.42008	-0.0003648	3.02572e-49
1.42014	-0.0003648	1.28994e-51
1.42021	-0.0003648	8.34449e-52
1.42027	-0.0003648	2.67737e-53
1.42034	-0.0003648	5.51064e-54
1.4204	-0.0003648	4.77194e-54
1.42046	-0.0003648	1.84436e-54
1.42053	-0.0003648	6.83152e-55
1.42059	-0.0003648	6.26149e-55
1.42066	-0.0003648	1.27342e-55
1.42072	-0.0003648	7.51706e-56
1.42078	-0.0003648	1.06783e-56
1.42085	-0.0003648	6.87568e-57
1.42091	-0.0003648	3.72974e-57
1.42098	-0.0003648	4.29905e-58
1.42104	-0.0003648	8.49589e-59
1.4211	-0.0003648	4.84208e-59
1.42117	-0.0003648	5.42152e-59
1.41483	-0.0003584	5.32359e-93
1.4149	-0.0003584	3.01035e-91
1.41496	-0.0003584	8.52271e-90
1.41502	-0.0003584	6.3582e-89
1.41509	-0.0003584	2.41509e-86
1.41515	-0.0003584	1.09901e-84
1.41522	-0.0003584	3.02087e-83
1.41528	-0.0003584	3.28977e-82
1.41534	-0.0003584	1.54978e-81
1.41541	-0.0003584	9.19034e-81
1.41547	-0.0003584	1.14871e-79
1.41554	-0.0003584	2.94018e-79
1.4156	-0.0003584	4.90033e-78
1.41566	-0.0003584	2.17946e-77
1.41573	-0.0003584	1.21701e-74
1.41579	-0.0003584	8.01739e-73
1.41586	-0.0003584	1.86501e-72
1.41592	-0.0003584	2.41001e-72
1.41598	-0.0003584	1.75532e-71
1.41605	-0.0003584	1.40314e-70
1.41611	-0.0003584	2.6887e-69
1.41618	-0.0003584	3.49372e-68
1.41624	-0.0003584	6.71242e-67
1.4163	-0.0003584	3.23208e-65
1.41637	-0.0003584	6.14488e-64
1.41643	-0.0003584	4.95884e-63
1.4165	-0.0003584	1.50809e-61
1.41656	-0.0003584	1.16014e-60
1.41662	-0.0003584	2.54612e-60
1.41669	-0.0003584	8.54647e-60
1.41675	-0.0003584	5.79361e-59
1.41682	-0.0003584	4.06561e-58
1.41688	-0.0003584	2.52034e-57
1.41694	-0.0003584	2.88063e-55
1.41701	-0.0003584	2.43048e-54
1.41707	-0.0003584	6.52369e-54
1.41714	-0.0003584	8.10126e-53
1.4172	-0.0003584	4.41996e-52
1.41726	-0.0003584	1.21435e-51
1.41733	-0.0003584	1.53037e-50
1.41739	-0.0003584	4.96818e-50
1.41746	-0.0003584	2.18528e-50
1.41752	-0.0003584	2.2865e-50
1.41758	-0.0003584	2.4072e-50
1.41765	-0.0003584	5.32312e-50
1.41771	-0.0003584	3.99501e-49
1.41778	-0.0003584	3.88531e-48
1.41784	-0.0003584	1.44677e-47
1.4179	-0.0003584	1.21647e-46
1.41797	-0.0003584	2.99545e-46
1.41803	-0.0003584	2.16985e-45
1.4181	-0.0003584	2.90836e-44
1.41816	-0.0003584	7.29653e-44
1.41822	-0.0003584	9.25159e-44
1.41829	-0.0003584	1.04432e-43
1.41835	-0.0003584	3.79905e-43
1.41842	-0.0003584	2.45921e-43
1.41848	-0.0003584	2.01221e-43
1.41854	-0.0003584	1.6918e-43
1.41861	-0.0003584	1.69355e-43
1.41867	-0.0003584	2.89952e-43
1.41874	-0.0003584	9.11552e-43
1.4188	-0.0003584	3.4062e-42
1.41886	-0.0003584	3.47756e-42
1.41893	-0.0003584	3.84071e-42
1.41899	-0.0003584	4.94861e-42
1.41906	-0.0003584	1.74358e-41
1.41912	-0.0003584	1.58282e-41
1.41918	-0.0003584	1.73435e-41
1.41925	-0.0003584	1.46355e-41
1.41931	-0.0003584	1.2227e-41
1.41938	-0.0003584	3.59239e-42
1.41944	-0.0003584	4.94429e-41
1.4195	-0.0003584	7.96763e-41
1.41957	-0.0003584	1.15142e-41
1.41963	-0.0003584	3.14561e-41
1.4197	-0.0003584	1.70902e-41
1.41976	-0.0003584	6.02967e-43
1.41982	-0.0003584	8.02326e-44
1.41989	-0.0003584	5.70822e-44
1.41995	-0.0003584	2.30644e-45
1.42002	-0.0003584	8.12557e-46
1.42008	-0.0003584	7.33382e-47
1.42014	-0.0003584	2.5947e-47
1.42021	-0.0003584	8.01255e-49
1.42027	-0.0003584	1.17642e-49
1.42034	-0.0003584	6.67061e-51
1.4204	-0.0003584	2.58189e-52
1.42046	-0.0003584	4.34417e-52
1.42053	-0.0003584	5.04612e-52
1.42059	-0.0003584	1.78851e-52
1.42066	-0.0003584	8.10666e-53
1.42072	-0.0003584	8.55076e-53
1.42078	-0.0003584	7.21476e-53
1.42085	-0.0003584	4.09356e-54
1.42091	-0.0003584	9.25487e-56
1.42098	-0.0003584	9.50382e-57
1.42104	-0.0003584	3.14768e-57
1.4211	-0.0003584	2.55644e-57
1.42117	-0.0003584	1.82746e-57
1.41483	-0.000352	1.70414e-88
1.4149	-0.000352	7.91477e-88
1.41496	-0.000352	1.06053e-86
